Date,Open,High,Low,Close,Adj Close,Volume
2016-12-09,85.019997,85.500000,84.139999,85.489998,74.587166,14567200
2016-12-12,85.360001,85.790001,84.290001,84.730003,73.924133,14511300
2016-12-13,84.980003,85.669998,83.820000,84.760002,73.950294,16669000
2016-12-14,83.879997,86.120003,83.760002,84.730003,73.924133,22622600
2016-12-15,85.400002,86.489998,84.900002,86.000000,75.032135,19438900
2016-12-16,86.290001,86.290001,84.889999,84.940002,74.107330,23008500
2016-12-19,84.800003,85.440002,84.190002,85.430000,74.534836,21685100
2016-12-20,85.790001,86.540001,85.550003,86.529999,75.494537,14587300
2016-12-21,86.430000,86.809998,86.029999,86.750000,75.686501,11400500
2016-12-22,86.440002,87.169998,86.209999,86.889999,75.808647,13924200
2016-12-23,87.000000,87.150002,86.400002,87.050003,75.948235,10759400
2016-12-27,87.050003,87.160004,86.750000,87.129997,76.018013,6946400
2016-12-28,87.160004,87.389999,86.349998,86.500000,75.468369,9455600
2016-12-29,86.580002,86.669998,85.040001,85.889999,74.936157,14689000
2016-12-30,86.099998,86.419998,85.660004,86.290001,75.285141,13617800
2017-01-03,87.339996,87.760002,85.980003,87.230003,76.105278,20550700
2017-01-04,86.959999,87.180000,86.400002,86.910004,76.245636,15266600
2017-01-05,86.809998,87.110001,85.260002,86.110001,75.543808,14300800
2017-01-06,86.389999,86.620003,85.940002,86.120003,75.552589,12893300
2017-01-09,85.730003,86.769997,85.519997,86.180000,75.605209,12806600
2017-01-10,86.070000,86.900002,85.720001,86.430000,75.824539,13989000
2017-01-11,86.430000,87.080002,85.910004,87.080002,76.394783,14713100
2017-01-12,86.760002,87.269997,86.019997,86.239998,75.657860,21337400
2017-01-13,87.110001,88.169998,86.099998,86.699997,76.061409,28296000
2017-01-17,84.930000,85.220001,83.279999,83.550003,73.297943,30024600
2017-01-18,83.629997,84.230003,83.029999,83.940002,73.640091,21270100
2017-01-19,84.059998,84.669998,83.120003,83.300003,73.078606,16555600
2017-01-20,83.430000,83.830002,83.290001,83.669998,73.403198,18436800
2017-01-23,83.300003,84.000000,83.209999,83.709999,73.438309,12179200
2017-01-24,83.919998,85.000000,83.559998,84.720001,74.324364,15175300
2017-01-25,85.839996,86.169998,85.169998,86.029999,75.473610,17551000
2017-01-26,85.949997,86.949997,85.949997,86.750000,76.105278,15962800
2017-01-27,86.660004,86.980003,86.269997,86.930000,76.263176,12535400
2017-01-30,86.190002,86.500000,85.320000,86.029999,75.473610,13661900
2017-01-31,85.599998,86.150002,84.089996,84.629997,74.245399,15655100
2017-02-01,85.540001,86.099998,84.680000,84.949997,74.526146,15430900
2017-02-02,84.339996,84.910004,84.160004,84.589996,74.210335,11081400
2017-02-03,86.190002,87.309998,85.870003,87.180000,76.482506,17885200
2017-02-06,86.790001,87.449997,86.610001,86.769997,76.122833,11828400
2017-02-07,87.139999,87.400002,86.480003,86.720001,76.078972,9392800
2017-02-08,86.180000,86.309998,85.370003,85.959999,75.412209,13970900
2017-02-09,85.959999,87.330002,85.959999,87.199997,76.500046,13749100
2017-02-10,87.480003,87.480003,86.889999,87.000000,76.324608,10992500
2017-02-13,87.440002,88.739998,87.430000,88.150002,77.333488,18739100
2017-02-14,88.300003,89.699997,88.110001,89.559998,78.570465,17932100
2017-02-15,90.080002,90.870003,89.349998,90.589996,79.474083,17381800
2017-02-16,90.400002,91.040001,89.769997,90.529999,79.421432,17672700
2017-02-17,89.820000,90.470001,89.690002,90.230003,79.158264,15776600
2017-02-21,90.510002,91.150002,90.459999,91.010002,79.842560,14068300
2017-02-22,90.519997,91.300003,90.419998,91.059998,79.886421,11839000
2017-02-23,91.180000,91.339996,90.519997,91.129997,79.947815,11067000
2017-02-24,90.180000,90.540001,89.730003,90.330002,79.245995,15062300
2017-02-27,90.320000,90.730003,90.019997,90.430000,79.333725,12361000
2017-02-28,89.849998,90.820000,89.589996,90.620003,79.500397,15183500
2017-03-01,92.790001,93.980003,92.610001,93.599998,82.114731,24451400
2017-03-02,93.870003,93.919998,92.029999,92.139999,80.833893,16862500
2017-03-03,92.139999,93.110001,92.139999,92.800003,81.412910,12817500
2017-03-06,92.250000,92.320000,91.099998,91.919998,80.640884,15059200
2017-03-07,91.639999,92.089996,91.209999,91.410004,80.193466,11156800
2017-03-08,92.680000,92.849998,91.099998,91.209999,80.018005,17378400
2017-03-09,91.599998,92.139999,91.150002,91.570000,80.333824,13726200
2017-03-10,91.949997,92.000000,90.529999,91.279999,80.079414,13729900
2017-03-13,91.309998,91.779999,90.930000,91.360001,80.149597,10004300
2017-03-14,91.019997,91.650002,90.769997,91.510002,80.281197,10237700
2017-03-15,91.800003,92.550003,91.129997,91.730003,80.474197,16601400
2017-03-16,92.029999,92.809998,91.570000,91.639999,80.395241,14492000
2017-03-17,91.830002,92.040001,90.650002,90.680000,79.553040,21734700
2017-03-20,90.269997,91.169998,89.790001,90.029999,78.982803,14623600
2017-03-21,90.360001,90.639999,87.059998,87.389999,76.666748,33089200
2017-03-22,86.889999,88.070000,86.010002,87.529999,76.789574,21741000
2017-03-23,87.209999,88.500000,87.089996,87.389999,76.666748,16090100
2017-03-24,87.790001,88.089996,86.769997,87.290001,76.579018,16093200
2017-03-27,85.529999,87.400002,85.230003,87.239998,76.535164,16689300
2017-03-28,87.019997,89.019997,86.980003,88.599998,77.728264,16264400
2017-03-29,88.599998,88.820000,88.080002,88.269997,77.438759,10207600
2017-03-30,88.199997,89.459999,88.120003,89.029999,78.105492,11631000
2017-03-31,88.709999,88.739998,87.750000,87.839996,77.061516,16987600
2017-04-03,87.989998,88.169998,86.599998,87.519997,76.780785,19831800
2017-04-04,86.889999,87.669998,86.720001,87.309998,77.036682,14280800
2017-04-05,88.419998,88.540001,86.129997,86.190002,76.048447,17635500
2017-04-06,85.980003,86.910004,85.250000,86.480003,76.304337,14379600
2017-04-07,85.930000,86.809998,85.709999,86.180000,76.039642,13097100
2017-04-10,86.080002,86.690002,85.400002,85.879997,75.774933,15081600
2017-04-11,85.540001,85.790001,84.800003,85.730003,75.642570,14690500
2017-04-12,85.930000,85.949997,85.029999,85.400002,75.351410,14730600
2017-04-13,85.500000,86.989998,84.400002,84.400002,74.469070,30529800
2017-04-17,84.440002,86.080002,84.370003,85.860001,75.757278,19071700
2017-04-18,85.360001,85.629997,84.739998,85.160004,75.139648,14127000
2017-04-19,85.500000,85.919998,84.360001,84.459999,74.522018,17588500
2017-04-20,84.980003,85.779999,84.550003,85.550003,75.483749,15635800
2017-04-21,85.500000,85.680000,84.510002,84.519997,74.574951,19820600
2017-04-24,86.550003,88.050003,86.419998,87.500000,77.204323,25468300
2017-04-25,88.550003,89.129997,88.260002,88.260002,77.874886,18253800
2017-04-26,88.349998,89.050003,88.139999,88.430000,78.024902,12832200
2017-04-27,88.370003,88.370003,87.010002,87.610001,77.301369,13329000
2017-04-28,87.599998,87.849998,86.949997,87.000000,76.763153,10755600
2017-05-01,87.360001,87.739998,86.559998,87.059998,76.816078,15712300
2017-05-02,86.709999,86.879997,86.019997,86.500000,76.321983,14414200
2017-05-03,86.059998,87.099998,86.019997,87.000000,76.763153,11540500
2017-05-04,87.690002,87.730003,86.570000,87.099998,76.851387,11540100
