Date,Open,High,Low,Close,Adj Close,Volume
2016-12-09,29.516129,30.284630,29.497154,30.075901,24.907320,30935743
2016-12-12,30.075901,30.977230,30.037951,30.740038,25.457325,33997508
2016-12-13,31.129032,31.195446,30.891842,31.148008,25.795185,30313356
2016-12-14,31.233397,31.593927,30.967743,31.138519,25.787329,38309843
2016-12-15,30.958254,31.271347,30.929790,31.072105,25.732330,22004463
2016-12-16,31.195446,31.252373,30.853889,31.157495,25.803043,39615012
2016-12-19,31.081594,31.280834,31.043644,31.148008,25.795185,26276958
2016-12-20,31.100569,31.195446,30.901327,31.166983,25.810900,26428312
2016-12-21,31.053131,31.242884,30.673624,30.740038,25.457325,19751644
2016-12-22,30.635674,30.768501,30.407970,30.683111,25.410183,19618418
2016-12-23,30.749525,30.891842,30.702087,30.815939,25.520184,11387943
2016-12-27,30.901327,31.043644,30.815939,30.863379,25.559465,11826302
2016-12-28,30.834915,31.015181,30.683111,30.692600,25.418041,14691495
2016-12-29,30.730551,30.948767,30.711575,30.825426,25.528040,14827250
2016-12-30,30.683111,30.929790,30.654650,30.815939,25.520184,19885396
2017-01-03,31.024668,31.309298,30.920303,31.309298,25.928755,23391844
2017-01-04,31.432638,31.641365,31.337761,31.584440,26.156610,22753963
2017-01-05,31.660341,31.963947,31.423149,31.888046,26.408049,21083584
2017-01-06,31.935484,31.973434,31.631880,31.764706,26.305899,18418228
2017-01-09,31.717268,31.944971,31.669828,31.755219,26.298044,21559886
2017-01-10,31.869070,31.935484,31.612904,31.726755,26.274473,20444754
2017-01-11,31.660341,31.821632,30.740038,31.148008,25.795185,42623128
2017-01-12,30.863379,30.948767,30.645161,30.929790,25.614471,33475989
2017-01-13,30.996204,31.100569,30.673624,30.853889,25.551615,21386925
2017-01-17,30.692600,30.721064,30.151802,30.417458,25.190182,33838143
2017-01-18,30.445921,30.626186,30.313093,30.388994,25.166609,22629064
2017-01-19,30.417458,30.445921,29.914612,30.075901,24.907320,27555881
2017-01-20,30.094877,30.474382,30.037951,30.142315,24.962317,31788324
2017-01-23,30.056927,30.189753,29.829222,29.848198,24.718752,26098094
2017-01-24,29.791271,29.848198,29.316889,29.554079,24.475172,31225172
2017-01-25,29.753321,29.905123,29.506641,29.686907,24.585173,33905283
2017-01-26,29.791271,29.857685,29.601519,29.677420,24.577316,28653517
2017-01-27,29.857685,29.924099,29.658443,29.810247,24.687319,25353654
2017-01-30,29.857685,29.886148,29.468691,29.705881,24.600887,28947899
2017-01-31,29.421251,30.294119,29.345350,30.104364,24.930893,39472300
2017-02-01,29.895636,30.066414,29.658443,30.047438,25.137262,30031938
2017-02-02,29.857685,30.104364,29.715370,30.104364,25.184887,24634404
2017-02-03,30.407970,30.588236,30.284630,30.445921,25.470625,37935252
2017-02-06,30.360531,30.673624,30.303604,30.578749,25.581749,25859258
2017-02-07,30.664137,30.692600,30.303604,30.436434,25.462690,24781648
2017-02-08,30.284630,30.692600,30.284630,30.493359,25.510315,20194745
2017-02-09,30.493359,30.872866,30.493359,30.721064,25.700808,25102380
2017-02-10,30.749525,30.787476,30.578749,30.692600,25.676994,23090189
2017-02-13,30.777988,31.015181,30.777988,30.939280,25.883364,21733585
2017-02-14,30.863379,31.091082,30.692600,31.072105,25.994486,24205532
2017-02-15,31.100569,31.859583,31.015181,31.793169,26.597710,48035523
2017-02-16,31.736242,32.153702,31.518026,31.897533,26.685022,40402244
2017-02-17,31.869070,32.153702,31.812143,31.897533,26.685022,36882306
2017-02-21,31.850096,32.068310,31.764706,31.897533,26.685022,25391598
2017-02-22,31.850096,32.020874,31.546490,31.869070,26.661211,28676494
2017-02-23,31.973434,32.371918,31.859583,32.314991,27.034260,32122863
2017-02-24,32.419353,32.590134,32.248577,32.504745,27.193007,26046448
2017-02-27,32.476280,32.694496,32.409866,32.523720,27.208881,23009136
2017-02-28,32.352940,32.504745,32.172676,32.371918,27.081888,28964658
2017-03-01,32.514233,32.760910,32.305504,32.656548,27.320004,34034925
2017-03-02,32.694496,32.969639,32.656548,32.741936,27.391438,26952993
2017-03-03,32.741936,32.874763,32.599621,32.751423,27.399376,19800760
2017-03-06,32.571156,32.703983,32.333965,32.590134,27.264442,19174263
2017-03-07,32.134724,32.447819,32.020874,32.248577,26.978701,30783335
2017-03-08,32.172676,32.352940,31.992411,32.172676,26.915205,23870360
2017-03-09,32.144215,32.390892,32.049335,32.305504,27.026325,20199594
2017-03-10,32.390892,32.561668,32.258064,32.362431,27.073950,20214666
2017-03-13,32.390892,32.400379,32.172676,32.362431,27.073950,19988056
2017-03-14,32.277039,32.571156,32.239090,32.466793,27.161257,15563469
2017-03-15,32.466793,32.922199,32.428844,32.855785,27.486683,24279839
2017-03-16,32.798862,32.855785,32.495255,32.666035,27.327940,21816219
2017-03-17,32.694496,32.808350,32.514233,32.561668,27.240633,45736117
2017-03-20,32.637569,32.732449,32.561668,32.618595,27.288252,18435514
2017-03-21,32.713470,32.836811,32.428844,32.495255,27.185072,33083479
2017-03-22,32.542694,32.770397,32.248577,32.703983,27.359688,27528267
2017-03-23,32.561668,32.789375,32.476280,32.533207,27.216824,21378704
2017-03-24,32.514233,32.514233,32.201138,32.258064,26.986635,28583110
2017-03-27,32.011387,32.552181,32.011387,32.428844,27.129513,18852055
2017-03-28,32.314991,32.504745,32.229603,32.409866,27.113634,19327725
2017-03-29,32.409866,32.685009,32.362431,32.571156,27.248569,18214174
2017-03-30,32.438332,32.675522,32.400379,32.590134,27.264442,15803465
2017-03-31,32.457306,32.618595,32.409866,32.457306,27.153318,19616837
2017-04-03,32.362431,32.590134,32.352940,32.485767,27.177130,19064752
2017-04-04,32.428844,32.732449,32.305504,32.580647,27.256508,20324177
2017-04-05,32.571156,32.751423,32.400379,32.438332,27.137444,20321225
2017-04-06,32.390892,32.590134,32.314991,32.362431,27.073950,17164706
2017-04-07,32.343452,32.495255,32.296017,32.352940,27.066010,14728069
2017-04-10,32.381405,32.466793,32.229603,32.296017,27.018387,16852722
2017-04-11,32.277039,32.333965,32.011387,32.191650,26.931076,20155642
2017-04-12,32.144215,32.248577,31.982922,32.182163,26.923141,26022628
2017-04-13,32.144215,32.277039,32.087288,32.144215,26.891394,13560553
2017-04-17,32.163189,32.305504,32.087288,32.258064,26.986635,15963462
2017-04-18,32.030361,32.144215,31.935484,32.106262,26.859644,22293365
2017-04-19,32.115749,32.172676,31.831120,31.888046,26.677090,25204302
2017-04-20,31.907021,32.134724,31.764706,32.011387,26.780273,19339319
2017-04-21,31.916510,32.001900,31.755219,31.916510,26.700899,25552227
2017-04-24,32.239090,32.286530,31.925997,32.011387,26.780273,22438501
2017-04-25,32.087288,32.220116,31.982922,32.030361,26.796144,19756176
2017-04-26,32.125237,32.286530,32.115749,32.115749,26.867580,20884483
2017-04-27,32.220116,32.277039,32.039848,32.125237,26.875519,15633139
2017-04-28,32.144215,32.201138,32.020874,32.182163,26.923141,16842077
2017-05-01,32.153702,32.248577,32.039848,32.049335,26.812017,23910833
2017-05-02,31.859583,31.992411,31.195446,31.888046,26.677090,42965678
2017-05-03,31.764706,31.869070,31.593927,31.755219,26.565966,26155748
2017-05-04,31.726755,31.869070,31.612904,31.736242,26.550093,26897869
2017-05-05,31.726755,31.764706,31.527514,31.764706,26.573898,22999966
2017-05-08,31.688805,31.897533,31.641365,31.736242,26.550093,24781543
2017-05-09,31.736242,31.869070,31.641365,31.669828,26.494530,18028248
2017-05-10,31.309298,31.423149,31.214420,31.337761,26.470486,34829852
2017-05-11,31.299810,31.442125,31.166983,31.347248,26.478498,26421567
2017-05-12,31.204933,31.375711,31.204933,31.318787,26.454462,18589187
2017-05-15,31.280834,31.480076,31.119545,31.423149,26.542610,20530444
2017-05-16,30.891842,31.119545,30.730551,30.929790,26.125885,42437834
2017-05-17,30.929790,30.929790,30.559772,30.578749,25.829365,29931281
2017-05-18,30.550285,30.759012,30.426945,30.569260,25.821346,24874822
2017-05-19,30.645161,30.796965,30.540796,30.796965,26.013685,29885432
2017-05-22,30.834915,30.834915,30.474382,30.474382,25.741213,26725962
2017-05-23,30.474382,30.626186,30.436434,30.493359,25.757238,18517410
2017-05-24,30.521822,30.626186,30.332067,30.407970,25.685110,23576821
2017-05-25,30.417458,30.550285,30.332067,30.512335,25.773264,18227244
2017-05-26,30.531309,30.635674,30.455408,30.493359,25.757238,12330746
2017-05-30,30.417458,30.654650,30.379507,30.483871,25.749224,16913643
2017-05-31,30.626186,31.110058,30.483871,30.977230,26.165953,30585499
2017-06-01,30.996204,31.166983,30.853889,31.034157,26.214043,25184803
2017-06-02,31.091082,31.195446,30.777988,30.872866,26.077801,21984543
2017-06-05,30.844402,30.910816,30.550285,30.692600,25.925533,14994836
2017-06-06,30.645161,30.711575,30.398481,30.426945,25.701138,18831186
2017-06-07,30.436434,30.512335,30.265656,30.360531,25.645041,17479641
2017-06-08,30.360531,30.455408,30.047438,30.123341,25.444689,35620773
2017-06-09,30.180265,31.119545,30.113852,31.091082,26.262125,31764609
2017-06-12,31.091082,31.394688,31.024668,31.024668,26.206024,30435515
2017-06-13,31.034157,31.100569,30.853889,30.910816,26.109856,18093913
2017-06-14,30.920303,31.081594,30.796965,31.015181,26.198008,14568177
2017-06-15,30.948767,31.337761,30.891842,31.129032,26.294180,19952115
2017-06-16,31.290323,31.432638,31.129032,31.280834,26.422403,33600044
2017-06-19,31.252373,31.546490,31.223909,31.518026,26.622753,21922146
2017-06-20,31.508539,32.020874,31.451612,31.840607,26.895233,27473775
2017-06-21,31.859583,32.352940,31.859583,32.144215,27.151686,27134492
2017-06-22,32.210625,32.713470,32.182163,32.314991,27.295933,23352529
2017-06-23,32.333965,32.466793,32.229603,32.419353,27.384094,31668800
2017-06-26,32.409866,32.457306,32.229603,32.296017,27.279909,14937604
2017-06-27,32.381405,32.381405,32.020874,32.039848,27.063530,16089942
2017-06-28,32.125237,32.248577,31.925997,32.020874,27.047501,15594035
2017-06-29,32.020874,32.134724,31.660341,31.907021,26.951330,15724837
2017-06-30,32.001900,32.068310,31.793169,31.869070,26.919273,14242175
2017-07-03,31.764706,32.229603,31.755219,32.087288,27.103601,8971964
2017-07-05,32.201138,32.210625,31.774195,31.916510,26.959347,17072270
2017-07-06,31.916510,31.944971,31.442125,31.518026,26.622753,14676318
2017-07-07,31.546490,31.650854,31.328274,31.641365,26.726936,17914522
2017-07-10,31.650854,31.812143,31.537003,31.698292,26.775023,14256720
2017-07-11,31.688805,31.755219,31.356735,31.470589,26.582685,12874083
2017-07-12,31.631880,31.812143,31.499050,31.518026,26.622753,14577979
2017-07-13,31.518026,31.631880,31.299810,31.574953,26.670841,14112006
2017-07-14,31.565466,31.831120,31.537003,31.717268,26.791048,13175843
2017-07-17,31.726755,31.755219,31.442125,31.546490,26.646793,17733866
2017-07-18,31.527514,31.679317,31.347248,31.650854,26.734949,15356148
2017-07-19,31.660341,31.963947,31.603416,31.897533,26.943316,19825951
2017-07-20,31.755219,31.973434,31.631880,31.821632,26.879206,17870043
2017-07-21,31.755219,31.859583,31.679317,31.764706,26.831118,12673718
2017-07-24,31.669828,31.736242,31.470589,31.612904,26.702896,15558937
2017-07-25,31.669828,31.764706,31.318787,31.404175,26.526585,20856025
2017-07-26,31.394688,31.404175,31.148008,31.204933,26.358294,16572674
2017-07-27,31.110058,31.309298,31.015181,31.309298,26.446444,17561221
2017-07-28,31.366224,31.470589,31.129032,31.451612,26.566656,17116117
2017-07-31,31.508539,31.679317,31.442125,31.461102,26.574673,23169660
2017-08-01,31.347248,31.593927,31.043644,31.385199,26.510563,28072552
2017-08-02,31.185959,31.233397,31.024668,31.233397,26.640036,30412116
2017-08-03,31.261860,32.077801,31.176472,31.717268,27.052744,28739945
2017-08-04,31.859583,32.258064,31.764706,31.916510,27.222687,27183398
2017-08-07,31.831120,31.869070,31.546490,31.603416,26.955637,13188280
2017-08-08,31.622391,31.745731,31.518026,31.574953,26.931362,16986475
2017-08-09,31.631880,31.745731,31.461102,31.736242,27.068933,15807681
2017-08-10,31.660341,31.831120,31.508539,31.707781,27.044651,19062539
2017-08-11,31.783682,31.850096,31.508539,31.546490,26.907080,13626639
2017-08-14,31.622391,31.660341,31.442125,31.603416,26.955637,13482241
2017-08-15,31.631880,31.812143,31.555977,31.669828,27.012283,18048801
